scenario,imputer,model,n_features,best_thresh,auroc,auprc,accuracy,precision,recall,f1,bss
merged_cv_fold1,median,deep_ann,7,0.29,0.8838030960734178,0.7005905588043833,0.8170616113744076,0.6006944444444444,0.6892430278884463,0.6419294990723562,0.3582282878860793
merged_cv_fold1,median,deepnetx2,7,0.26499999999999996,0.8786793126003449,0.696994982432164,0.8104265402843602,0.5765765765765766,0.7649402390438247,0.6575342465753424,0.3520475994384885
merged_cv_fold1,median,ann_xgb_ens,7,0.4149999999999999,0.9606548928663456,0.8764038726280766,0.9118483412322275,0.7762237762237763,0.8844621513944223,0.8268156424581006,0.6223831993727023
merged_cv_fold1,median,stack_lr_oof,7,0.32999999999999996,0.9895046678955819,0.9705156419726375,0.9516587677725118,0.8759398496240601,0.9282868525896414,0.9013539651837524,0.8110588699150529
merged_cv_fold2,median,rf,7,0.3449999999999999,0.9806601737508248,0.9635760733695737,0.9478178368121443,0.8712121212121212,0.9163346613545816,0.8932038834951457,0.7867803885606046
merged_cv_fold2,median,lr,7,0.4749999999999999,0.7648707784056799,0.4534746405325088,0.6916508538899431,0.41435185185185186,0.7131474103585658,0.5241581259150805,-0.07224416071980944
merged_cv_fold2,median,xgb,7,0.6399999999999999,0.9676859188402057,0.9125144840895797,0.9402277039848197,0.8671875,0.8844621513944223,0.8757396449704142,0.6925912196624808
merged_cv_fold2,median,ann,7,0.27999999999999997,0.8644822949794843,0.6606736600027461,0.8159392789373814,0.6007067137809188,0.6772908366533864,0.6367041198501873,0.31853019630644774
merged_cv_fold2,median,deep_ann,7,0.32999999999999996,0.8845514579291799,0.7261566568642427,0.8519924098671727,0.6907630522088354,0.6852589641434262,0.688,0.38581872174841514
merged_cv_fold2,median,deepnetx2,7,0.3,0.8704856787048568,0.6847893063726056,0.8311195445920304,0.6465863453815262,0.6414342629482072,0.644,0.3434607139041894
merged_cv_fold2,median,ann_xgb_ens,7,0.36499999999999994,0.9533621429599162,0.8882756477292169,0.9108159392789373,0.7716262975778547,0.8884462151394422,0.825925925925926,0.6354443113963121
merged_cv_fold2,median,stack_lr_oof,7,0.43499999999999994,0.9886134168184051,0.9730375617822653,0.961100569259962,0.9233870967741935,0.9123505976095617,0.9178356713426854,0.8263789969181808
merged_cv_fold3,median,rf,7,0.39499999999999996,0.987707947785446,0.9774079943510279,0.9629981024667932,0.9015151515151515,0.9482071713147411,0.9242718446601942,0.8132199855069828
merged_cv_fold3,median,lr,7,0.4599999999999999,0.7758356362842527,0.4980405742947341,0.6669829222011385,0.3958333333333333,0.7569721115537849,0.5198358413132695,-0.10698171275444435
merged_cv_fold3,median,xgb,7,0.6449999999999999,0.975192629233998,0.9358607322026021,0.9497153700189753,0.8613138686131386,0.9402390438247012,0.8990476190476191,0.6912125855752945
merged_cv_fold3,median,ann,7,0.32999999999999996,0.8708825966371128,0.6873392197237366,0.8292220113851992,0.6497890295358649,0.6135458167330677,0.6311475409836066,0.3410188378954597
merged_cv_fold3,median,deep_ann,7,0.27999999999999997,0.8815745734372596,0.7113546361959961,0.8263757115749526,0.6156462585034014,0.7211155378486056,0.6642201834862386,0.37330145178050556
merged_cv_fold3,median,deepnetx2,7,0.29,0.8796147911467455,0.7140835449525943,0.8121442125237192,0.5815384615384616,0.7529880478087649,0.65625,0.37716117674593896
merged_cv_fold3,median,ann_xgb_ens,7,0.39499999999999996,0.963930082906233,0.9092578033463864,0.9174573055028463,0.7751677852348994,0.9203187250996016,0.8415300546448088,0.6546530655405376
merged_cv_fold3,median,stack_lr_oof,7,0.27499999999999997,0.9878691956954249,0.9775535458780935,0.9516129032258065,0.8496503496503497,0.9681274900398407,0.9050279329608939,0.8462458202224638
merged_cv_fold4,median,rf,7,0.3549999999999999,0.9853264401919098,0.9630715422185989,0.9430740037950665,0.8659003831417624,0.900398406374502,0.8828125,0.7690505357565173
merged_cv_fold4,median,lr,7,0.4599999999999999,0.7629754952791574,0.46537602322808985,0.6935483870967742,0.41509433962264153,0.701195219123506,0.5214814814814814,-0.06308870357973118
merged_cv_fold4,median,xgb,7,0.62,0.9721413226297797,0.9309096703925416,0.9307400379506642,0.8503937007874016,0.8605577689243028,0.8554455445544554,0.6759325902950052
merged_cv_fold4,median,ann,7,0.24,0.8547280367942923,0.6620559860398387,0.8064516129032258,0.5770491803278689,0.701195219123506,0.6330935251798561,0.30056022065273735
merged_cv_fold4,median,deep_ann,7,0.235,0.9026211467951358,0.7650730065654291,0.8396584440227703,0.6314102564102564,0.7848605577689243,0.6998223801065719,0.4358174130433501
merged_cv_fold4,median,deepnetx2,7,0.3,0.8643284892807351,0.6785155862556829,0.8140417457305503,0.5951557093425606,0.6852589641434262,0.6370370370370371,0.3356269310084127
merged_cv_fold4,median,ann_xgb_ens,7,0.44499999999999995,0.9584178851220275,0.8947235761484015,0.9108159392789373,0.807843137254902,0.8207171314741036,0.8142292490118577,0.6315171635760028
merged_cv_fold4,median,stack_lr_oof,7,0.31499999999999995,0.9867627869592615,0.965122527274288,0.9383301707779886,0.8297872340425532,0.9322709163346613,0.8780487804878049,0.7882260826063662
merged_cv_fold5,median,rf,7,0.38499999999999995,0.9842076277703631,0.9651558894767892,0.9516129032258065,0.8816793893129771,0.9203187250996016,0.9005847953216374,0.7861604875089375
merged_cv_fold5,median,lr,7,0.4099999999999999,0.7990751812178434,0.5217060742286502,0.6698292220113852,0.403960396039604,0.8127490039840638,0.5396825396825397,-0.03394969505081802
merged_cv_fold5,median,xgb,7,0.605,0.9710448368419224,0.9254499986935806,0.9392789373814042,0.850187265917603,0.9043824701195219,0.8764478764478765,0.6834497763278318
merged_cv_fold5,median,ann,7,0.26999999999999996,0.871954275054204,0.7042500366850364,0.825426944971537,0.6200716845878136,0.6892430278884463,0.6528301886792452,0.3499919428313547
merged_cv_fold5,median,deep_ann,7,0.21499999999999997,0.882844710820479,0.7368831862231842,0.8244781783681214,0.6037735849056604,0.7649402390438247,0.6748681898066784,0.38899482647147887
merged_cv_fold5,median,deepnetx2,7,0.26999999999999996,0.8641449147370667,0.7038269869810114,0.8178368121442126,0.6006825938566553,0.701195219123506,0.6470588235294118,0.3469903661170952
merged_cv_fold5,median,ann_xgb_ens,7,0.31999999999999995,0.9504398346836812,0.8828126548574914,0.9003795066413662,0.738562091503268,0.900398406374502,0.8114901256732495,0.6254954363664765
merged_cv_fold5,median,stack_lr_oof,7,0.38499999999999995,0.9839992458559286,0.9637126674567861,0.9516129032258065,0.8816793893129771,0.9203187250996016,0.9005847953216374,0.7973298325030558
